STATE,GDP_GROWTH_Q1_2021,PCT_UNINSURED,GDP_PC,POP,POP_DENSITY,DEATHS_PER_1M_7JUL2021,CUME_CASES_7JUL2021,CASE_FATALITY_RATE_7JUL2021,TESTS_7JUL2021,TEST_PER_1M_7JUL2021,CUME_DEATHS_7JUL2021,CASES_PER_1M_7JUL2021,NUM_DAYS_JAN_MAY_2020_PHASE1,FIPS,CUME_CASES_PHASE1,CUME_DEATHS_PHASE1,CASES_PER_1M_PHASE1,DEATHS_PER_1M_PHASE1,CUME_CASES_PHASE2,CUME_DEATHS_PHASE2,CASES_PER_1M_PHASE2,DEATHS_PER_1M_PHASE2,STATE2,DEATH_AVG_PHASE2,DEVIATION_DEATH_AVG_PHASE2,DEATH_AVG_PHASE1,DEVIATION_DEATH_AVG_PHASE1,TRUMP_2020,TRUMP_2016,TRUMP_CHANGE,NURSING_HOME_IMMUNITY,STAY_AT_HOME_ORDERS,TRAVEL_RESTRICTIONS,MASK_REQ,LN_DEATHS_PER_1M_7JUL2021,LN_CASES_PER_1M_7JUL2021,LN_POP_DENSITY,LN_GDP_PC
Alabama,6.8,12.1,47735,5024279,99.2,2322,552911,0.02,2830286,577234,11387,110047.8297,80,1,17952,630,3573.049984,125.3911258,534959,"10,757",106474.7798,2141.003714,Alabama,1409.972605,731.0311092,253.3705395,-127.9794137,0.6203,0.6208,0.0005,1,1,0,1,7.750184162,11.60867037,4.597138014,10.77342016
Alaska,5.4,17.2,76220,733391,1.3,506,68674,0.01,2395221,3274195,370,93639.00021,81,2,469,8,639.495167,10.90823313,68205,362,92999.50504,493.5975489,Alaska,1409.972605,-916.3750561,253.3705395,-242.4623064,0.5283,0.5128,-0.0155,0,1,1,0,6.226536669,11.44720224,0.262364264,11.24137917
Arizona,7.4,13.6,51179,7151502,62.9,2474,898283,0.02,5126795,704354,18004,125607.5996,127,4,19936,906,2787.666143,126.6866737,878347,"17,098",122819.9335,2390.826431,Arizona,1409.972605,980.8538256,253.3705395,-126.6838659,0.4906,0.4808,-0.0098,1,1,1,0,7.813591553,11.74091804,4.141546164,10.84308457
Arkansas,6.9,11.8,44808,3011524,57.9,1966,353095,0.02,3808827,1262110,5933,117247.9449,82,5,7253,133,2408.415141,44.16368589,345842,"5,800",114839.5298,1925.935174,Arkansas,1409.972605,515.9625694,253.3705395,-209.2068536,0.624,0.6057,-0.0183,0,0,1,1,7.583756301,11.67204616,4.058717385,10.71014197
California,6.3,12.4,80563,39538223,253.7,1614,3828483,0.02,70392011,1781525,63758,96829.92076,128,6,113114,4242,2860.877182,107.288585,3715369,"59,516",93969.04358,1505.277564,California,1409.972605,95.30495896,253.3705395,-146.0819545,0.3432,0.3162,-0.027,0,1,0,1,7.386470849,11.48071132,5.536152467,11.29679477
Colorado,7.9,10.3,68828,5773714,55.7,1225,560419,0.01,3190081,553955,7056,97063.86565,88,8,26364,1445,4566.211627,250.2721818,534055,"5,611",92497.65402,971.8181399,Colorado,1409.972605,-438.154465,253.3705395,-3.098357684,0.419,0.4325,0.0135,0,1,0,1,7.110696123,11.48312445,4.019980147,11.13936592
Connecticut,6,6.9,81055,3605944,744.7,2322,349743,0.02,9645449,2705378,8278,96990.69093,85,9,42201,3944,11703.17675,1093.749653,307542,"4,334",85287.51417,1201.904411,Connecticut,1409.972605,-208.0681938,253.3705395,840.3791138,0.3919,0.4093,0.0174,1,1,1,1,7.750184162,11.48237028,6.612981453,11.30288322
Delaware,5.6,7.8,78468,989948,508,1741,109900,0.02,740119,760060,1695,111015.9321,82,10,9498,366,9594.443344,369.7163891,100402,"1,329",101421.4888,1342.494757,Delaware,1409.972605,-67.47784768,253.3705395,116.3458496,0.3977,0.4172,0.0195,0,1,1,1,7.46221494,11.617429,6.230481448,11.27044618
District of Columbia,2.9,5.3,200277,689545,"11,280.00",1617,49423,0.02,1681353,2382367,1141,71674.80005,86,11,8801,466,12763.48897,675.8079603,40622,675,58911.31108,978.9063803,District of Columbia,1409.972605,-431.0662247,253.3705395,422.4374208,0.054,0.0407,-0.0133,0,1,1,1,7.38832786,11.1798945,9.330786525,12.20745669
Florida,7,16.6,51745,21538187,401.4,1769,2382980,0.02,31249599,1454976,37985,110639.7674,92,12,56155,2450,2607.229661,113.7514499,2326825,"35,535",108032.5377,1649.860316,Florida,1409.972605,239.8877106,253.3705395,-139.6190896,0.5122,0.4902,-0.022,0,1,1,0,7.478169694,11.61403486,5.994958436,10.85408309
Georgia,7,15.8,58896,10711908,185.6,2022,1137560,0.02,12006950,1130872,21467,106195.8336,91,13,45051,2019,4205.693327,188.4818279,1092509,"19,448",101990.1403,1815.549573,Georgia,1409.972605,405.5769684,253.3705395,-64.88871162,0.4926,0.5077,0.0151,1,1,0,0,7.6118424,11.57304016,5.22359382,10.98352846
Hawaii,4.5,5.3,69593,1455271,226.6,366,38121,0.01,1754418,1239108,518,26195.12105,87,15,642,17,441.1549464,11.68167304,37479,501,25753.9661,344.2657759,Hawaii,1409.972605,-1065.706829,253.3705395,-241.6888665,0.3427,0.3003,-0.0424,0,1,1,1,5.902633333,10.17332845,5.423186349,11.15041927
Idaho,5.9,13.6,46043,1839106,22.3,1206,195552,0.01,1413139,788553,2162,106329.9233,80,16,2855,82,1552.384691,44.5868808,192697,"2,080",104777.5387,1130.984293,Idaho,1409.972605,-278.9883115,253.3705395,-208.7836587,0.639,0.5926,-0.0464,0,1,1,0,7.095064377,11.57430202,3.104586678,10.73733102
Illinois,6.4,9.7,71727,12812508,230.8,2031,1394235,0.02,25989308,2050953,25733,108818.2735,129,17,120588,5426,9411.740465,423.4924185,1273647,"20,307",99406.53305,1584.935596,Illinois,1409.972605,174.9629908,253.3705395,170.121879,0.4055,0.3876,-0.0179,1,1,0,1,7.616283562,11.59743455,5.441551535,11.18062252
Indiana,6.8,11.9,56702,6785528,189.4,2064,756070,0.02,10918291,1621797,13892,111423.901,87,18,35429,2134,5221.259127,314.4928442,720641,"11,758",106202.6419,1732.805465,Indiana,1409.972605,322.8328598,253.3705395,61.12230468,0.5702,0.5682,-0.002,0,1,0,1,7.632401127,11.62109713,5.243861181,10.94556476
Iowa,5.2,6.2,62493,3190369,57.1,1949,405303,0.02,5216309,1653310,6149,127039.5368,85,19,19621,537,6150.072296,168.3190879,385682,"5,612",120889.4645,1759.044173,Iowa,1409.972605,349.0715683,253.3705395,-85.05145165,0.5309,0.5115,-0.0194,0,0,0,1,7.5750717,11.75225363,4.044804117,11.04280983
